买,价,量
卖⑤,11.36,138
卖④,11.35,53
卖③,11.34,49
卖②,11.33,46
卖①,11.32,107
成交,11.31,
买①,11.31,45
买②,11.3,304
买③,11.29,109
买④,11.28,254
买⑤,11.27,192
