job_duty,job_name
"1. 2 年以上基础设施/云计算后台开发经验
2. 熟悉Golang或其他任意主流编程语言，Coding、Debug 能力强；
3. 有容器、k8s或其他云平台开发经验者优先；
4. 有存储、大数据、AI、通用计算等相关经验者优先；
5. 有任意云计算/云原生相关开源项目经验者优先(Linux Kernel/Etcd/Prometheus/ELK/Istio等)；
6. 熟悉 AWS/Google Cloud 等云计算厂商产品优先；
7. 有良好的团队合作，沟通、表达能力，严谨的工作态度与高质量意识；
8. 对新技术敏感，求知欲强，能快速学习并具备较强的技术领悟能力。

注：此岗位为腾讯集团旗下全资子公司编制岗位，通过腾讯云从业资格证或同等资格认证的优先录取。",22989-腾讯云容器后台开发工程师（CSIG全资子公司）（武汉）
"1、2年以上游戏开发经验，有游戏引擎开发经验者更佳
2、熟悉游戏相关引擎技术，关注业界引擎前沿技术
3、游戏中图形相关性能优化及兼容性问题解决
4. 针对需求定制增改优化UE引擎底层功能
5、具有良好的团队协作精神",15611-洛克王国手游UE4引擎工程师（深圳/北京）
"1、3年以上游戏开发经验，有游戏引擎开发经验者更佳
2、熟悉游戏相关图形或者引擎技术，关注图形学前沿技术
3、游戏中图形相关性能优化及兼容性问题解决
4、具有良好的团队协作精神",15611-洛克王国手游引擎图形工程师（深圳/北京）
"2年以上游戏客户端开发经验；
熟悉C++、数据结构和算法，有typescript相关开发经验的者优先；
熟悉常用设计模式、多线程、网络、界面开发；
有责任心，良好的团队合作能力和沟通能力。",27141-创新项目-开放世界游戏客户端高级开发工程师
"1. 全日制统招本科或以上学历，计算机或数学相关专业优先。
2. 有5年以上java开发经验，扎实的java编程基础， 熟悉Spring Cloud、orm、grpc等框架。
3. 熟悉主流中间件及数据库产品（ Nginx，Tomcat，HAProxy，Redis，MySQL， ElasticSearch、RocketMQ、Kafka 等）的高可用架构及其原理，具备良好的问题排查和调优经验。
4. 理解面向对象编程，设计模式，微服务架构，分布式架构。具有高可用、高性能、高并发、可扩展系统的设计经验。
5. 有比较丰富的现网实践经验，具备良好的问题排查和调优经验，【必要条件】
6. 很强的主动性和责任心，能够自我驱动，不断学习。善于前后端协作推进产品架构演进、升级、落地。
7. 良好的学习和表达能力、逻辑思维能力。良好的沟通能力和团队协作精神。",TEG03-后台开发工程师（CSIG全资子公司）
"1. 全日制统招本科或以上学历，计算机或数学相关专业优先。
2. 有5年以上java开发经验，扎实的java编程基础， 熟悉Spring Cloud、orm、grpc等框架。
3. 熟悉主流中间件及数据库产品（ Nginx，Tomcat，HAProxy，Redis，MySQL， ElasticSearch、RocketMQ、Kafka 等）的高可用架构及其原理，具备良好的问题排查和调优经验。
4. 理解面向对象编程，设计模式，微服务架构，分布式架构。具有高可用、高性能、高并发、可扩展系统的设计经验。
5. 有比较丰富的现网实践经验，具备良好的问题排查和调优经验，【必要条件】
6. 很强的主动性和责任心，能够自我驱动，不断学习。善于前后端协作推进产品架构演进、升级、落地。
7. 良好的学习和表达能力、逻辑思维能力。良好的沟通能力和团队协作精神。",TEG03-后台开发工程师2（CSIG全资子公司）
"拥有3年Unity游戏开发经验；
熟练掌握Unity相关的插件及优化技术；
熟悉IOS，Android系统；
优秀的团队合作能力和沟通能力；
具备良好的分析解决问题能力, 学习能力；
责任心强, 自我要求严格，具备团队合作精神；",21229-游戏客户端开发工程师(Unity)
"1、本科及以上学历，3年以上游戏开发经验；
2、熟练掌握C#，C++；
3、扎实的算法和数学基础, 系统全面的软件研发领域知识(计算机系统, OS、数据结构等)；
4、有Unity开发经验，有相关工具开发或者流程优化经验；
5、出色的学习和技术研究应用能力, 良好的团队协作能力, 善于沟通, 敬业专注；",15575-《王者荣耀》客户端高级开发工程师（生态方向）（成都）
"1、 本科及以上学历，计算机或相关专业； 5年以上Linux运维工作经验，并有100台以上Linux服务器运维经验，能够熟练运用linux命令，至少具备shell/python一种脚本编写能力；
2、 熟悉Linux内核，对内核网络、存储、文件系统、内存、调度器，CGroup等模块之一有过相关实践， 对KVM/Xen等虚拟化技术有过了解；熟悉分布式系统理论，有大规模分布式存储系统架构经验；
3、 熟悉TCP/IP协议，二层三层协议，了解OSPF、BGP、IPSec VPN、SSL VPN、NAT、MPLS原理，有较强的分析故障排查能力；
4、 精通docker和kubernetes的搭建和使用，熟悉helm使用；且拥有大规模K8S集群运维经验，有k8s问题定位能力；了解k8s CNI网络模型和分布式存储CSI实现；
5、 有较好的表达和沟通能力，和逻辑思考能力，能够现场解决客户的问题，并能够承受一线客户的压力。
6、 熟悉某一CPU体系结构，熟悉底层性能调优，对网络/存储等协议栈以及协议精通者优先；
7、 熟悉prometheus监控系统的使用者优先；
8、 在操作系统与硬件兼容性方面经验丰富，了解硬件RAS相关经验者优先，有丰富内核故障调试经验者优先。
注：此岗位为腾讯集团旗下全资子公司编制岗位
工作地点：西安/重庆",31504-专有云平台运维SRE工程师（CSIG全资子公司）
"1、 建设腾讯云服务平台的建设，提升腾讯云客户使用体验；
2、 深刻理解业务需求，从业务层面整体规划架构选型并实现；
3、 核心代码实现、代码维护，保证运营交付;
4、 负责编写相关的系统设计文档、使用文档，对系统质量负责。
注：此岗位为腾讯集团旗下全资子公司编制岗位",31504-运营开发工程师（重庆）（CSIG全资子公司）
"1. 熟悉Linux内核，对内核网络、存储、文件系统、内存管理、进程调度等模块之一有过相关实践 。
2. 3年以上Linux内核或QEMU开发经验； 对KVM虚拟化技术有过实际的开发和优化经验；了解KVM CPU，内存，IO的处理流程和代码。
3. 熟练使用Linux底层工具链，了解其原理，熟悉底层性能调优；有丰富内核故障调试经验者优先。
4.了解virtio规范，virtio-blk和virtio-net驱动项目经验者优先。
5.了解SPDK，有SPDK相关项目经验者优先。
6. 有内核补丁社区以及虚拟化社区提交经验者优先。

注：此岗位为腾讯集团旗下全资子公司编制岗位。 通过腾讯云从业资格证或同等资格认证的优先录取",22989-腾讯云存储虚拟化开发工程师(CSIG全资子公司)（武汉）
"- 3年以上Android framework的调试经验，深入理解Android 框架逻辑
- 熟练掌握 Android service、Jni、Native service、HAL 等核心机制；
- 熟悉Android各版本的系统架构更新及平台限制
- 熟悉利用AOSP定制Android系统。
- 有Android NDK webrtc 相关经验者优先
- 熟悉Linux体系架构，有相关内核网络、存储、文件系统、内存、调度器，Cgroup等模块开发经验优先
- 熟悉ARM体系架构，有相关内核开发经验者优先

注：此岗位为腾讯集团旗下全资子公司编制岗位。 通过腾讯云从业资格证或同等资格认证的优先录取",22989-Android系统开发工程师(CSIG全资子公司)（武汉）
"1. 熟悉 React 及其相关的技术栈；
2. 对软件工程能效、Devops、自动化工具平台建设相关领域有广泛的了解 ；
3. 保持对前沿技术的敏感，合理的运用相关的技术解决问题
4. 对用户体验有追求，积极思考产品的前端体验问题，并提出自己的建议",CSIG17-WEB前端开发工程师（CSIG全资子公司）
"本科及以上学历，计算机相关专业， 三年以上前端工作经验；
精通HTML/CSS/JavaScript等前端开发语言，以及了解AJAX/HTML5/SPA等各种前端技术；
掌握Vue/React中至少一种前端框架，并了解底层原理，掌握React优先；
对nodejs有项目经验，或者至少熟悉一种后台语言，有后台编程经验优先；
能够熟练使用linux环境下的常用操作；
良好的学习能力、沟通能力、团队协作能力、及分析问题解决问题能力，责任心强。
注：此岗位为腾讯集团旗下全资子公司编制岗位 通过腾讯云从业资格证或同等资格认证的优先录取",22989-前端开发工程师（CSIG全资子公司）（西安）
"计算机专业，本科以上学历，三年以上开发经验；
熟悉Linux系统管理和维护，熟练使用shell；
精通Python，熟悉C/C++语言开发；
精通MySQL或其他类型的数据库；
熟悉k8s集群管理，有大规模k8s集群运维经验优先；
有分布式存储产品开发和运维经验者优先。 通过腾讯云从业资格证或同等资格认证的优先录取",22989-云存储研发工程师（CSIG全资子公司）（西安）
"1、熟悉视频编解码底层算法及标准，如H.264/HEVC/VVC/AV1等；
2、精通C/C++编程，有PC/移动端汇编优化经验者优先，有多线程开发经验者优先；
3、熟悉ffmpeg，x264，x265等开源项目；
4、扎实的算法、数据结构基础，优秀的英文阅读能力；
5、沟通交流能力强，工作积极主动，良好的团队协作能力。",21557-视频编解码研究员(深圳/北京/上海)
"1. 对网络技术有一定了解，熟悉各类网络传输协议；
2. 对实时音视频会议的全链路模块有基本了解，知道各模块出问题时的表现，能对问题原因做快速分类；
3. 有一定的问题分析解决能力，可以对用户反馈的问题做初步分析并整理成报告；
4. 认真负责，能及时响应客户问题工单；
5. 有问题排查自动化工具开发经验者优先，有前端开发经验者优先。

（注：此岗位为腾讯集团旗下全资子公司编制。）",41071-腾讯会议网络运维工程师（CSIG全资子公司）
"1、计算机相关专业本科及以上学历，2年以上大数据开发或财务相关系统建设经验；
2、有数仓搭建经验，支持多个平台费用、效果数据的落地存储
3、有财务、采购、广告效果系统等相关领域经历的优先考虑
4、有海量数据的处理分析经验，对hadoop/storm/spark/flink/hbase至少1个熟悉
5、能够制定统一的口径和评价标准，从各个不同维度对数据进行全方位监控治理
6、需要有主人翁意识，主动拉通流程各环节进行对齐，推动各方解决各自的痛点和问题
7、有较好沟通能力，需要和部门、公司多个系统进行数据侧沟通、合作、对接
",48547-费用资源平台数据开发工程师
"本科、硕士（含）以上，5年及以上工作经验；
计算机基础扎实：数据结构、操作系统、网络、设计模式等（必须）；
精通go，python，c++，java等任意一种或多种语言（必须）；
后台开发能力扎实，有丰富的多进程、多线程服务器开发经验（必须）；
热爱技术，具备快速学习能力，做事情严谨踏实，责任心强，团队协作能力强；
对当前使用的技术栈有深入了解；
具备良好的分析解决问题能力，能独立承担任务和有系统进度把控能力，抗压能力强；

满足以下条件优先：
对云原生的微服务、容器、Serverless相关的技术研发经验；
对虚拟化，网络等IAAS层有相关技术研发经验；
有国内外知名云计算团队工作经历。

此岗位为腾讯集团旗下全资子公司编制岗位，通过腾讯云从业资格证或同等资格认证的优先录取。",22989-Serverless后台开发Tech Lead（CSIG全资子公司）（西安）
"理工科、计算机或医护其他相关专业本科以上学历； 熟悉Linux或Unix操作系统，熟悉至少一种数据库技术例如MySQL、postgreSql、mongodb等; 有Shell或PHP/Python/golang等编程基础与经验者优先； 
至少1年以上软件系统测试或测试开发及自动化测试工作经验； 
熟悉健康医疗与资讯产业知识，具备医疗健康产业系统测试经验者优先； 
精通测试流程和测试用例设计方法,能主动进行技术/业务钻研； 
善于团队合作，理解和适应变化，以结果和行动为准则，努力追求成功。
",CSIG17-创新医疗测试开发工程师（CSIG全资子公司）
"1. 精通C语言，熟悉一种或者多种脚本语言，如shell、python等；
2. 有较好的系统架构和设计能力；
3. 有多核平台下开发及性能调优经验，如DPDK等；或有丰富的高性能服务器网络编程经验；
4. 了解云网络业务和虚拟网络技术，会让你更具优势；例如：VPC、SLB等；
5. 了解P4，或者有类似可编程网络的相关背景，有SDN或者有相关的项目经历等背景是加分项；
6、熟悉网络协议，网络架构，系统软件开发，分布式系统，SDN等任一方向者优先。 

此岗位为腾讯集团旗下全资子公司编制岗位，通过腾讯云从业资格证或同等资格认证的优先录取。",22989-云网关研发工程师(CSIG全资子公司)(西安）
"1. 硕士及以上学历，3年以上AI与大数据、AI与推介算法结合的相关领域工作；
2. 有游戏研发、运营相关的经验，有使用游戏用户画像分类以及用户内容推送相关领域工作经验；
3. 熟练掌握C/C++，至少掌握一门脚本语言，包括但不限于：Python，Go，NodeJS，Lua等；
4. 有一定的数据仓库理论知识，同时具备良好的AI相关领域知识；
5. 热爱游戏行业，具备较强的学习能力、沟通能力、团队协作能力，心态开放，乐于分享学习，自驱和抗压能力强",40163-《王者荣耀·世界》人工智能应用工程师（上海）
"计算机相关专业本科以上学历，5年以上相关工作经验；
精通Unix/Linux下c/c++开发，熟悉常用数据库的使用；
精通TCP/IP协议，进程间通讯编程，熟悉Unix/Linux下常用架构设计方法；
熟悉Unix/Linux操作系统原理，熟练使用Shell工具；
热爱游戏行业，具有良好的沟通能力与团队合作精神；
有开源组件使用经验者优先，对海量、高性能、分布式开发有经验者优先。",48377-Z世代新手游-服务器开发负责人（深圳）（NR3）
"计算机或相关专业，本科及以上学历；
基础扎实，熟悉常用的数据结构和算法；掌握操作系统与计算机网络等专业知识；
熟悉Javascript/HTML/CSS等前端开发技术，使用过react或vue等主流前端框架；
对TCP/IP、HTTP、HTTPS等网络协议有深入了解，有性能优化经验，拥有良好的安全意识，熟悉常见的网络安全攻防策略；熟悉Node.js，有服务端编程经验，对服务可用性有一定的了解；
具有较强的沟通能力与团队合作精神； 具有良好的分析问题、解决问题的能力以及较强的学习能力；

注：此岗位为腾讯集团旗下全资子公司编制岗位，通过腾讯云从业资格证或同等资格认证的优先录取。",22989-存储Web前端开发工程师(CSIG全资子公司)（西安）
"* 本科以上学历，5年以上互联网产品运维或开发、架构设计工作经验或客户技术支持服务相关经验；
* 精通go，python，c++，java任意一种开发语言，掌握微服务架构如：SpringCloud等，熟悉K8S平台；
* 熟悉云服务体系，包括IaaS、PaaS和SaaS 或者有一定的开发或者运维经验，了解微服务技术，有极强的问题解决能力，习惯于寻找创新方法来达成目；
* 优良的客户服务意识，严谨的工作态度和强烈的责任心；
* 熟悉微信、小程序行业领域者优先，有小程序开发经验者优先。

此岗位为腾讯集团旗下全资子公司编制岗位，通过腾讯云从业资格证或同等资格认证的优先录取。",22989-云开发商业化研发-Serverless(CSIG全资子公司)(西安)
"本科以上学历，2年以上工作经验；
计算机基础扎实：数据结构、操作系统、网络、设计模式等（必须）；
精通go，python，php 等任意一种或多种语言（必须）；
后台开发能力扎实，有丰富的多进程、多线程服务器开发经验，
对当前使用的技术栈有深入了解；
热爱技术，具备快速学习能力，做事情严谨踏实，责任心强，团队协作能力强；
具备良好的分析解决问题能力，能独立承担任务和有系统进度把控能力，抗压能力强；

满足以下条件优先：
有docker、kubernetes等开源或自研的容器经验；
流利的英语读写能力，能够进行跨国技术会议；
有国内外知名云计算团队工作经历；
熟悉Serverless, ServerlessFramework, AWS Lmabda, Github pages，AWS EventBridge , cloudEvent 等产品
注：此岗位为腾讯集团旗下全资子公司编制岗位。 通过腾讯云从业资格证或同等资格认证的优先录取",22989-腾讯云Serverless后台开发工程师（CSIG全资子公司）（西安）
"本科及以上学历；
5年以上游戏服务器研发工作经验，有团队管理经验优先；
精通C++11以上开发和设计，有lua、golang开发经验优先； 
熟悉常用数据库Mongodb、MySQL、redis、ES 的设计、开发和优化（至少一种）；
熟悉tcp/udp等协议相关知识，熟悉网络编程；对海量、高性能、分布式、云原生、微服务开发有经验者优先；
热爱游戏行业，具备良好的沟通能力、团队协作能力，自驱力强，抗压能力强；",15585-3A大型MMO手游-服务器开发主程(上海)
"1、本科及以上学历，2年以上开发经验， 熟悉linux操作系统，了解Shell，有shell脚本的编写经验。
2、熟练掌握GO/Python/C至少一种开发语言
3、熟悉常见开源中间件的使用方法，包含不局限为MySQL、Redis、Kafka、ElasticSearch等。
4、对云服务有一定使用基础，使用或者参与过开源社区项目者优先。
5、熟悉k8s相关概念，并且能够独立完成基于k8s某个特性扩展实践者优先。

注：此岗位为腾讯集团旗下全资子公司编制岗位",22989-容灾高可用平台开发工程师（武汉/西安/重庆）(全资子公司)
"需要玩王者游戏，对moba游戏有深入理解；
计算机科学、统计学、经济学、生物统计等相关专业，了解实验设计/因果推断/计量经济的基本知识；
熟练使用SQL，或者Python的编程经验，对于用户画像、AB测试、实验评估、因果推断有实际工作经验、思考总结者尤佳；
有机器学习、深度学习、推荐、NLP、社交图网络等相关编程建模经验3年及其以上，并应用到实际业务中；
对数据敏感，崇尚数据说话，深信数据在驱动业务、支撑决策上的价值；
",15575-《王者荣耀》资深数据算法/数据科学工程师-数据科学方向（深圳）
"1 计算机相关专业，本科及以上学历；
2 具有分布式系统实战经验，具有大规模，高并发，高性能系统开发经验；
3 熟悉go/C++/java的任意一种开发语言，熟悉linux/uinx操作系统基础原理及常用操作；
4 熟悉TCP/IP、HTTP等协议，有良好的网络、数据传输、安全、计算机体系结构方面的知识；
5 有激情，对技术有追求，有学习热情。 通过腾讯云从业资格证或同等资格认证的优先录取",22989-腾讯云Serverless API网关后台开发工程师(CSIG全资子公司)（西安）
"1、计算机相关专业本科及以上学历；
2、3年以上开发经验，1年以上智能合约或区块链相关项目开发经验；
3、熟练掌握EVM原理以及Solidity智能合约语言和开发库，并具备相关项目经验；
4、熟悉各种数据结构和算法，对加密算法，安全协议有研究；
5、精通智能合约的编写/编译/测试/部署，掌握常见的智能合约漏洞以及规避措施；
6、熟练掌握Node.js等开发语言和相关框架；
7、对以太坊底层协议，运行机制和底层实现等有一定的研究分析；
8、良好的沟通和表达能力、团队协作精神和执行力；
9、有以太坊NFT、DeFi项目开发经验优先；",27141-web3区块链智能合约开发工程师
"1）3年以上相关工作经验，精通linux，对系统相关问题有较深刻理解；
2）擅长shell、python、perl中一种或几种，熟练应用awk、sed、grep、strace、gdb等常用工具；
3）拥有较强的逻辑思维能力，能够快速的分析问题，解决问题；
4）有k8s运维经验优先；  
5）云产品环境运维，要求至少对存储、网络、计算的某一个方向有运维经验，具体如下：
存储方向：对主流存储产品如Ceph、GlusterFS等熟悉；对文件存储、对象存储、块存储的区别及原理有深入的理解；
计算方向：对常见虚拟化产品如kvm的原理和架构有深入的理解。参与过私有云或云服务器的维护，有生产运维经验；
网络方向：熟悉TCP/IP，了解SDN相关技术，能够定位linux虚拟化环境下网络异常；熟悉主流的网络设备，精通路由协议（ospf，bgp），有大规模网络规划、运维经验优先；熟悉主流网络虚拟化技术原理(如vxlan GRE等)，有处理虚拟网络问题经验，熟练掌握tcpdump抓包分析。

此岗位为腾讯集团旗下全资子公司编制岗位，通过腾讯云从业资格证或同等资格认证的优先录取。",22989-专有云环境运维工程师（CSIG子公司）（ 西安/武汉）
"熟练掌握C++，至少掌握一门脚本语言, 有一定框架设计能力;
熟悉3D游戏开发相关技术，熟悉UE4/Unity引擎底层原理； 
有大型3D游戏项目开发经验优先
有优秀的学习能力，善于沟通协作，热爱游戏事业； 
对FPS游戏熟悉和热爱者优先。",15571-《UE4科幻开放世界PVE射击手游》客户端开发工程师（深圳）
"本科及以上学历，3年以上相关经验，有云计算经验优先；
有内部业务上云经验，熟悉docker和Kubernetes，有AI、大数据在k8s部署经验优先。
具有良好的分析、研究和解决问题能力、解决方案制定和行业分析研究能力；
具备良好的沟通协调能力及团队协作能力，良好的抗压能力，具有敏感的服务意识，较强的数据分析能力；
强烈的责任心与主动性，对所负责工作有owner意识，并能自我驱动成长",TEG10-上云资源管理项目经理
"- 扎实的编程基础，过硬的C++编程能力；
- 具有UE4或者Unity引擎使用经验（UE4优先）；
- 具备以下一个或者多个gameplay相关模块的长期深入开发经验：3C以及复杂地形下的玩家移动、技能系统、玩法模式架构、游戏AI、关卡玩法、netcode同步策略等；
- 具有支持系统的相关编辑器功能的开发经验；
- 具有丰富的gameplay相关系统的性能优化经验；
- 良好的团队协作能力，善于沟通；",41299-UE4 Gameplay高级工程师
"与音频团队紧密配合，向音频设计总监汇报；
与音频团队共同制定、执行和修正中心音频制作流程和方法；
与音频团队共同制定音频相关工具和DSP功能上的设计，并实现完成;
为中小规模项目的音频相关功能提供技术支持和指导；
实现中小规模项目中重要 (特殊) 音频功能;
理解大型项目的特点和音频设计的意图；
在大型项目中为GPP在音频功能的实现上提供帮助；
梳理现有音频工作流程、数据流程，在效率和规范上都能达到业界标准以上水平；
进一步挑战音频数据在内存管理、资源消耗的优化方面的可能；
定位并修正错误，以及为其他同事提供定位、修正错误的信息；
编写文档以为其他同事赋能，帮助他人理解、掌握系统和功能。",41299-【NExT Studios】Game Audio Programmer
"1、二年以上游戏开发经验，有Unreal4开发经验者优先。
2、熟练掌握UE4蓝图的各种功能，熟练使用材质、动画、粒子特效、行为树等模块。
3、熟练使用lua脚本语言。
4、良好的数据结构基础以及算法设计能力。
5、良好的学习能力和沟通能力，高度的工作责任心和敬业精神，吃苦耐劳并能承受较大的工作压力。
6、有完整游戏项目经验直至上线者优先。",32032-手游UE4客户端开发工程师
"1）大学本科及以上学历，计算机或者相关专业;
2）精通linux系统, 熟悉TCP/IP协议, 熟悉数据库原理, 对os/network/db底层有深入研究;
3）精通至少一门通用编程语言(语言不限, 有大规模系统设计经验加分)，能够编写运维用相关工具或系统提升运维工作效率;
4）在专有云平台系统运维、容器、计算、网络、应用运维、中间件、大数据、数据库、安全等领域，至少一个领域有深入的技术理解，具备系统调试、性能调试等技能，疑难问题有较强的分析与排查能力;
5）熟悉云的技术体系以及业界流行的新技术，对于平台运维中的复杂问题的解决有自己的见解，同时能够不断完善运维相关系统，最大化提升运维自动化能力;
6）良好的文档输出能力，及时沉淀技术文档和运维解决方案，并善于归纳总结，并能够对内对外进行分享宣贯;
7）做事细心不毛躁，能够严格按照运维流程制度进行运维操作，具备很强的Ownership、客户服务意识和团队协作意识，善于主动思考和自我驱动，具有敏锐的风险意识和良好的风险识别能力，能够以客户业务为中心进行运维工作的规划;
8）对分布式分布式系统有深入理解, 熟悉互联网常用开源基础组件(nginx, redis, kafka, mysql, hbase, zookeeper, hadoop等)，有超大规模集群管理经验者优先;
9）强烈的责任心、良好的沟通和协调能力，有大项目管理经验优先。
10) 能够接受一定的短期差旅要求。 通过腾讯云从业资格证或同等资格认证的优先录取。

注：此岗位为腾讯旗下全资子公司岗位。",22989-专有云高级运维架构师(西安)(CSIG全资子公司)
"1）大学本科及以上学历，计算机或者相关专业;
2）精通linux系统, 熟悉TCP/IP协议, 熟悉数据库原理, 对os/network/db底层有深入研究;
3）精通至少一门通用编程语言(语言不限, 有大规模系统设计经验加分)，能够编写运维用相关工具或系统提升运维工作效率;
4）在专有云平台系统运维、容器、计算、网络、应用运维、中间件、大数据、数据库、安全等领域，至少一个领域有深入的技术理解，具备系统调试、性能调试等技能，疑难问题有较强的分析与排查能力;
5）熟悉云的技术体系以及业界流行的新技术，对于平台运维中的复杂问题的解决有自己的见解，同时能够不断完善运维相关系统，最大化提升运维自动化能力;
6）良好的文档输出能力，及时沉淀技术文档和运维解决方案，并善于归纳总结，并能够对内对外进行分享宣贯;
7）做事细心不毛躁，能够严格按照运维流程制度进行运维操作，具备很强的Ownership、客户服务意识和团队协作意识，善于主动思考和自我驱动，具有敏锐的风险意识和良好的风险识别能力，能够以客户业务为中心进行运维工作的规划;
8）对分布式分布式系统有深入理解, 熟悉互联网常用开源基础组件(nginx, redis, kafka, mysql, hbase, zookeeper, hadoop等)，有超大规模集群管理经验者优先;
9）强烈的责任心、良好的沟通和协调能力，有大项目管理经验优先。
10) 能够接受一定的短期差旅要求。 通过腾讯云从业资格证或同等资格认证的优先录取。

注：此岗位为腾讯旗下全资子公司岗位。",22989-专有云高级运维架构师(武汉)(CSIG全资子公司)
"1. 计算机相关专业，全日制本科及以上学历，1年以上Linux操作系统下C/C++项目开发经验；
2. 熟悉Linux操作系统原理、内核IO栈、ext3/ext4文件系统； 熟悉分布式系统理论，有分布式存储系统研发设计经验优先； 
3. 熟悉iSCSI协议和块设备虚拟化并有开发经验者优先； 熟悉SPDK并有开发经验者优先； 熟悉RDMA或用户态协议栈并有相关开发经验者优先； 
4. 有想法有担当，自信，不轻易说做不到； 热情、积极主动，学习能力强，高度的责任心，愿意主动接受挑战。

注：此岗位为腾讯集团旗下全资子公司编制岗位",22989-块存储存储引擎研发工程师（CSIG全资子公司）（武汉）
"- 3年以上Android framework的调试经验，深入理解Android 框架逻辑
- 熟练掌握 Android service、Jni、Native service、HAL 等核心机制；
- 熟悉Android各版本的系统架构更新及平台限制
- 熟悉利用AOSP定制Android系统。
- 有Android NDK webrtc 相关经验者优先
- 熟悉Linux体系架构，有相关内核网络、存储、文件系统、内存、调度器，Cgroup等模块开发经验优先
- 熟悉ARM体系架构，有相关内核开发经验者优先

注：此岗位为腾讯集团旗下全资子公司编制岗位。 通过腾讯云从业资格证或同等资格认证的优先录取",22989-Android系统开发工程师(CSIG全资子公司)（西安）
3年以上游戏相关工作经验；责任心强，善于沟通，对游戏前沿技术有热情；具有良好的团队合作精神，自我驱动力； 具有出色的学习和技术攻坚能力。 ,15583-金铲铲之战-大IP游戏客户端开发工程师
"1. 本科学历以上，3年及以上互联网公司或IT公司的工作经验；   
2. 具备较强的跨团队合作和沟通能力，思维活跃，学习能力、适应能力强； 
3. 工作主动积极，能承受工作压力；
4. 熟悉 ES、Hbase、Presto、Flink、Clickhouse等日志、存储及大数据技术架构相关的优先。
注：此岗位为腾讯旗下全资子公司编制 通过腾讯云从业资格证或同等资格认证的优先录取",22989-日志服务需求研发工程师（CSIG全资子公司）（西安）
"1、负责腾讯云产品web前端页面的开发，维护和优化工作；
2、负责页面相关的接入层的开发；
3、负责前端框架的搭建，公共组件的开发和维护。
注：此岗位为腾讯集团旗下全资子公司编制岗位",31504-前端开发工程师-重庆（CSIG全资子公司）
"1. 软件工程、通信、计算机类相关专业，本科以上学历；
2.了解云计算中计算、存储、网络、数据库、安全等产品基本原理优先；
3. 逻辑思维清晰，对数字敏感，具备良好的沟通协调能力和服务意识，有一定的项目管理经验；
4.责任心强，积极主动，抗压能力强，能独立分析和解决问题；
5.有应用系统交付、运维或线下项目管理相关经验 以及 ITIL证书者优先；
注：此岗位为腾讯集团旗下全资子公司编制岗位",31504-服务产品管理（CSIG全资子公司）
"1、本科及以上学历，3年以上相关工作经验；
2、熟悉TCP/IP协议，了解SDN相关技术，能够定位linux虚拟化环境下网络异常；
3、熟悉主流的网络设备，熟悉路由协议（ospf，bgp），有中等规模网络规划、运维经验优先；
4、熟悉主流4、7层负载均衡技术，有实际负载均衡疑难问题trouble shooting经验；
5、精通linux，windows操作系统，对系统性能相关问题有较深刻理解；
6、擅长shell、python、perl中一种或几种，熟练应用awk、sed、grep、strace、tcpdump、gdb等常用命令。 通过腾讯云技术认证或同等资格认证的优先录取。
此岗位为腾讯集团旗下全资子公司编制岗位 通过腾讯云从业资格证或同等资格认证的优先录取",31504-网络运维工程师（CSIG全资子公司)
"1、 熟悉Linux系统、TCP/IP网络协议等计算机基础 知识；
2、 熟悉Golang语言开发，同时熟悉Java, Python, Shell等其他一种或多种语言，有独立解决各种系统问题的能力，对Golang语言有深刻的理解者优先考虑
3、 有Kubernetes/Docker项目经验的同学优先， 熟悉源码和原理者加分；
4、 有Docker/Kubernetes/lstio二次开发，扩展幵发者、社区经验者优先；
5、 对linux内核有一定了解，知道一般问题的定位方向和手段，具备Linux内核开发能力者优先
6、 有良好的沟通能力与自我驱动能力，愿意投身云原生领域的浪潮中。 通过腾讯云从业资格证或同等资格认证的优先录取
注：此岗位为腾讯集团旗下全资子公司编制岗位
工作地：重庆/西安",31504-腾讯云K8S容器技术工程师（CSIG全资子公司）
"1) 全日制本科及以上学历，计算机和应用统计相关专业，数据仓库和数据研发工作2年以上
2) 掌握ClickHouse、presto、impala，熟悉Hadoop、Spark、Flink等主流平台框架，并熟练应用进行大数据研发
3) 掌握数据仓库、数据建模、数据工程相关的知识及应用技能
4) 掌握计算机基本数据结构和算法，掌握一门开发语言，并且熟练使用，如：python、scala、java等
5) 具备海量数据处理能力，掌握常用的数据分析方法及应用技能，了解常用的算法模型知识
6) 优秀的沟通与学习能力、逻辑能力、问题分析处理能力
7) 有相关业务背景的优先考虑，有互联网工作经验的优先考虑，有机器学习项目经验的优先考虑",44326-数据开发工程师
"1.本科及以上学历，2年以上开发经验， 熟悉linux操作系统，了解Shell，有linux网络编程经验。
2.熟练掌握GO/Python/C++至少一种开发语言，熟悉HTML/JS/Css以及HTTP原理。
3.熟练掌握MySql数据库，消息队列，redis等nosql技术
4.具有良好的学习能力、沟通能力、团队合作意识； 强烈的责任心与主动性，对所负责工作有owner意识，并能自我驱动成长。
5、熟悉容器/Kubernetes/serverless等云原生技术理念，有自动化运维系统开发经验者优先。 通过腾讯云从业资格证或同等资格认证的优先录取
工作地：重庆/西安",31504-腾讯云容器运营开发工程师（CSIG全资子公司）
