job_duty,job_name
"本科及以上学历，计算机相关专业； 
具备Unix、Linux操作系统下开发经验；
熟悉常用算法和数据结构，精通网络编程、多线程编程；
熟悉iscsi、nfs、cifs等协议或有san、nas存储设备开发者优先；
熟悉ceph、gfs、hdfs、lustre等分布式存储系统优先，熟悉ext2、ext3、ext4、xfs等文件系统优先；
熟悉存储设备、文件系统、 Linux操作系统原理；
掌握操作系统、设计模式、数据结构、数据库、网络安全等软件知识；
具备相关分布式大型系统后台研发经验优先；
具备相关存储系统项目经验优先；
有云计算或存储行业从业经验优先；
具备良好的沟通能力，需求理解能力，团队合作意识。  通过腾讯云技术认证或同等资格认证的优先录取。
注：此岗位为腾讯集团旗下全资子公司编制岗位 通过腾讯云从业资格证或同等资格认证的优先录取",22989-云存储研发工程师（CSIG全资子公司）（武汉）
"计算机或相关专业本科及以上学历，至少2年前端开发经验;
精通 Javascript/CSS/HTML，熟悉常用前端框架（如React、Vue等）、研发模式以及系统工具;
熟悉 Web 安全相关知识，并能使用相关技术防范安全漏洞；
熟悉Web应用系统开发，对HTTP协议及Web服务器等有所理解，熟悉后台 Node.js、Go 等语言开发的优先；
具备工程化的前端思维，善于利用合适的工具和流程解决团队日常研发问题，有大型系统前端架构、前端性能、可访问性、可维护性、模块化等方面的实践经验者优先；
学习能力强，良好的沟通能力，强烈的责任心及团队合作精神，较强的抗压能力；
有地产行业开发经验者，尤其在社区应用、营销工具和物联网功能模块开发经验者优先。
",38279-地产应用前端开发工程师（CSIG全资子公司）
"1. 本科及以上学历，计算机或软件工程相关专业；
2. 2年以上Linux开发经验，计算机基础扎实，熟悉主流UI框架(QT)；
3. 熟悉X11、 wayland 系统  4.掌握linux下性能、crash 分析工具
5. 熟悉C++语言，具备良好的编码风格，熟练代码管理工具git；
6. 具备扎实的数据结构和算法基础；
7. 具备良好的分析解决问题能力，良好的学习和分享习惯，工作积极主动，责任心强；
8. 有跨平台开发经验或音视频开发经验者优先。

备注：此岗位为腾讯集团旗下全资子公司编制岗位 通过腾讯云从业资格证或同等资格认证的优先录取",41071-腾讯会议Linux开发岗位（CSIG全资子公司）
"1. 计算机相关专业，全日制本科及以上学历，1年以上Linux操作系统下C/C++项目开发经验；
2. 熟悉Linux操作系统原理、内核IO栈、ext3/ext4文件系统； 熟悉分布式系统理论，有分布式存储系统研发设计经验优先； 
3. 熟悉iSCSI协议和块设备虚拟化并有开发经验者优先； 熟悉SPDK并有开发经验者优先； 熟悉RDMA或用户态协议栈并有相关开发经验者优先； 
4. 有想法有担当，自信，不轻易说做不到； 热情、积极主动，学习能力强，高度的责任心，愿意主动接受挑战。

注：此岗位为腾讯集团旗下全资子公司编制岗位",22989-块存储存储引擎研发工程师（CSIG全资子公司）（西安）
"3年以上游戏客户端研发经验,对游戏研发技术领域有较为全面的了解和关注；
熟悉软件研发领域知识(计算机系统, OS、数据结构等), 熟练使用C/C++, lua;
具备良好的问题分析解决能力, 责任心强, 有较高的自我管理和任务跟进推动能力；
有UE4引擎开发游戏的实践经验的优先；
出色的学习和技术研究应用的能力, 良好的团队协作能力, 善于沟通, 敬业专注；",40164-NXS 客户端主程(上海)
"5年以上游戏服务器开发经验，有成功上线的高品质项目，对游戏研发技术领域有较为全面的了解； 
负责架构、搭建与管理后台开发团队，对服务器端承载，稳定性，安全性，效能等多方面质量负责；
精通C/C++开发/设计经验；熟悉常用数据库Mongodb、MySQL、oracle、MSSQL 的设计、开发和优化（至少一种）;熟悉服务器端通信技术，对海量、高性能、分布式开发有经验者优先。",40164-NXS 服务器主程序
"负责引擎功能开发；
负责程序团队的管理；
负责制定团队引擎开发标规范；
负责领导和培养团队新人。
",40164-NXS 引擎主程序
"本科或以上计算机科学相关专业；
2年以上游戏开发经验，1年或以上图形术开发经验；
熟悉Unity或UE4的图形渲染管道及开发；
熟悉图形学算法，关注前沿图形学技术及其在游戏中的应用；
熟悉CPU/GPU架构及相关开发技术；
熟悉C/C++，具备扎实的数学、数据结构和算法基础，熟悉常用设计模式；
熟悉PC／移动端平台的游戏开发；
责任心强，善于沟通；
有优秀的学习能力，善于沟通，热爱游戏事业。",15605-《暗区突围》图形渲染工程师（深圳/上海）
"扎实的数学和算法基础，熟练掌握C++，熟悉3D技术
出色的学习和技术研究应用能力，良好的团队协作能力，善于沟通，热爱游戏事业
对游戏技术特定领域(比如渲染，AI, 动画, 物理)有深入研究者优先
熟悉UE引擎底层架构设计优先
对SLG游戏熟悉和热爱者优先",24987-UE4手游客户端开发
"3年及以上后台开发工作经验，熟悉linux、UNIX等操作系统，了解Shell，精通linux环境下C/C++编程
熟悉MYSQL或其他大型数据库，熟悉面向对象设计思想，熟悉网络编程
责任心强，较强的沟通能力和团队合作精神，勇于承担工作压力
良好的逻辑思维能力，分析解决问题能力
有SLG品类游戏项目经验者优先",24987-SLG手游后台开发工程师
